GW,chip,transfers,hits,free_transfers_available,gw_score,season_total
1,,0.0,0,1,57.0,57.0
2,,1.0,0,1,52.0,109.0
3,,3.0,2,1,32.0,141.0
4,Triple Captain,2.0,1,1,49.0,190.0
5,,2.0,1,1,41.0,231.0
6,,2.0,1,1,38.0,269.0
7,,2.0,1,1,86.0,355.0
8,Wildcard,,0,1,76.0,431.0
9,Bench Boost,1.0,0,1,58.0,489.0
10,,1.0,0,1,79.0,568.0
11,,2.0,1,1,30.0,598.0
12,,3.0,2,1,43.0,641.0
13,,1.0,0,1,28.0,669.0
14,,1.0,0,1,63.0,732.0
15,,2.0,1,1,59.0,791.0
16,,1.0,0,1,65.0,856.0
17,,1.0,0,1,88.0,944.0
18,,2.0,1,1,40.0,984.0
19,,2.0,1,1,49.0,1033.0
20,Wildcard,,0,1,42.0,1075.0
21,Bench Boost,1.0,0,1,52.0,1127.0
22,,3.0,2,1,19.0,1146.0
23,Triple Captain,2.0,1,1,59.0,1205.0
24,,2.0,1,1,40.0,1245.0
25,,3.0,2,1,60.0,1305.0
26,,3.0,2,1,75.0,1380.0
27,,1.0,0,1,39.0,1419.0
28,,1.0,0,1,61.0,1480.0
29,,3.0,2,1,59.0,1539.0
30,,1.0,0,1,58.0,1597.0
31,,2.0,1,1,35.0,1632.0
32,,1.0,0,1,73.0,1705.0
33,,1.0,0,1,72.0,1777.0
34,,3.0,2,1,53.0,1830.0
35,,1.0,0,1,43.0,1873.0
36,,1.0,0,1,63.0,1936.0
37,,1.0,0,1,68.0,2004.0
38,,1.0,0,1,54.0,2058.0
